Model,Metric,Score
torch_embed128_epochs10_lr10_batch24,Accuracy,58.30%
torch_embed128_epochs10_lr10_batch24,Precision,59.60%
torch_embed128_epochs10_lr10_batch24,Recall,44.10%
torch_embed128_epochs10_lr10_batch24,F-Measure,47.70%
torch_embed64_epochs25_lr1_batch64,Accuracy,57.10%
torch_embed64_epochs25_lr1_batch64,Precision,53.90%
torch_embed64_epochs25_lr1_batch64,Recall,35.80%
torch_embed64_epochs25_lr1_batch64,F-Measure,38.00%
torch_embed128_epochs10_lr5_batch128,Accuracy,58.50%
torch_embed128_epochs10_lr5_batch128,Precision,58.80%
torch_embed128_epochs10_lr5_batch128,Recall,42.50%
torch_embed128_epochs10_lr5_batch128,F-Measure,45.70%
no_filter_unigram_5fold,Accuracy,55.80%
no_filter_unigram_5fold,Precision,44.80%
no_filter_unigram_5fold,Recall,41.10%
no_filter_unigram_5fold,F-Measure,41.70%
no_filter_bigram_510old,Accuracy,
no_filter_bigram_510old,Precision,
no_filter_bigram_510old,Recall,
no_filter_bigram_510old,F-Measure,
no_filter_pos_5fold,Accuracy,
no_filter_pos_5fold,Precision,
no_filter_pos_5fold,Recall,
no_filter_pos_5fold,F-Measure,
filtered_unigram_15fold,Accuracy,57.20%
filtered_unigram_15fold,Precision,48.80%
filtered_unigram_15fold,Recall,38.10%
filtered_unigram_15fold,F-Measure,40.80%
filtered_bigram_5fold,Accuracy,51.10%
filtered_bigram_5fold,Precision,60.70%
filtered_bigram_5fold,Recall,20.30%
filtered_bigram_5fold,F-Measure,14.10%
filtered_pos_5fold,Accuracy,55.60%
filtered_pos_5fold,Precision,43.80%
filtered_pos_5fold,Recall,39.50%
filtered_pos_5fold,F-Measure,40.60%
filtered_LDA,Accuracy,16.80%
filtered_LDA,Precision,20.40%
filtered_LDA,Recall,20.20%
filtered_LDA,F-Measure,13.80%
